"X","Y","Z"
1,"A",3354
2,"A",2896
3,"A",2602
4,"A",2813
5,"A",2653
6,"A",2927
7,"A",3187
8,"A",3176
9,"A",3
10,"A",0
11,"A",0
12,"A",0
1,"B",3191
2,"B",2244
3,"B",2122
4,"B",2108
5,"B",2018
6,"B",2324
7,"B",2472
8,"B",2620
9,"B",2
10,"B",0
11,"B",0
12,"B",0
1,"C",2455
2,"C",2325
3,"C",2263
4,"C",2095
5,"C",1863
6,"C",1711
7,"C",1715
8,"C",1764
9,"C",0
10,"C",1
11,"C",0
12,"C",0
1,"D",3055
2,"D",2764
3,"D",2934
4,"D",2801
5,"D",2282
6,"D",2040
7,"D",1821
8,"D",1771
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",3101
2,"E",2528
3,"E",2675
4,"E",2725
5,"E",2416
6,"E",2291
7,"E",2359
8,"E",2443
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",3146
2,"F",2273
3,"F",2075
4,"F",2082
5,"F",1579
6,"F",1952
7,"F",2201
8,"F",2156
9,"F",1
10,"F",1
11,"F",0
12,"F",0
1,"G",2789
2,"G",3121
3,"G",2944
4,"G",2969
5,"G",3029
6,"G",2904
7,"G",3136
8,"G",2851
9,"G",1
10,"G",0
11,"G",0
12,"G",0
1,"H",2626
2,"H",2790
3,"H",2736
4,"H",2758
5,"H",2346
6,"H",2438
7,"H",2862
8,"H",2261
9,"H",0
10,"H",1
11,"H",1
12,"H",1
