"X","Y","Z"
1,"A",2409
2,"A",1787
3,"A",1925
4,"A",1943
5,"A",1977
6,"A",2179
7,"A",2076
8,"A",2416
9,"A",8
10,"A",0
11,"A",0
12,"A",0
1,"B",2392
2,"B",1523
3,"B",1548
4,"B",1729
5,"B",1557
6,"B",1617
7,"B",1220
8,"B",632
9,"B",26
10,"B",0
11,"B",0
12,"B",1
1,"C",2509
2,"C",1921
3,"C",1884
4,"C",2414
5,"C",2365
6,"C",2315
7,"C",2454
8,"C",2529
9,"C",0
10,"C",1
11,"C",0
12,"C",0
1,"D",2314
2,"D",1921
3,"D",2101
4,"D",1915
5,"D",2043
6,"D",2048
7,"D",1871
8,"D",1850
9,"D",4
10,"D",1
11,"D",0
12,"D",0
1,"E",1513
2,"E",1380
3,"E",1342
4,"E",1393
5,"E",1534
6,"E",1712
7,"E",1840
8,"E",1775
9,"E",8
10,"E",2
11,"E",0
12,"E",0
1,"F",2129
2,"F",1599
3,"F",1647
4,"F",1490
5,"F",1559
6,"F",1366
7,"F",1600
8,"F",1735
9,"F",4
10,"F",1
11,"F",0
12,"F",0
1,"G",2141
2,"G",1740
3,"G",2037
4,"G",2227
5,"G",2158
6,"G",2166
7,"G",2253
8,"G",2397
9,"G",1
10,"G",1
11,"G",0
12,"G",0
1,"H",2173
2,"H",2195
3,"H",2211
4,"H",2034
5,"H",2109
6,"H",2120
7,"H",2027
8,"H",2188
9,"H",9
10,"H",0
11,"H",0
12,"H",0
