"X","Y","Z"
1,"A",3150
2,"A",2652
3,"A",3030
4,"A",2941
5,"A",2937
6,"A",3085
7,"A",3280
8,"A",3133
9,"A",16
10,"A",0
11,"A",0
12,"A",0
1,"B",3446
2,"B",2545
3,"B",2464
4,"B",2501
5,"B",2448
6,"B",2456
7,"B",2906
8,"B",2808
9,"B",25
10,"B",1
11,"B",0
12,"B",0
1,"C",3052
2,"C",2399
3,"C",2961
4,"C",2918
5,"C",2679
6,"C",3158
7,"C",2959
8,"C",3377
9,"C",4
10,"C",0
11,"C",0
12,"C",0
1,"D",2498
2,"D",2367
3,"D",3012
4,"D",2589
5,"D",3037
6,"D",2627
7,"D",2707
8,"D",2598
9,"D",1
10,"D",0
11,"D",0
12,"D",0
1,"E",2839
2,"E",2720
3,"E",2735
4,"E",2461
5,"E",2741
6,"E",2674
7,"E",2990
8,"E",3185
9,"E",1
10,"E",0
11,"E",0
12,"E",0
1,"F",3023
2,"F",2536
3,"F",2464
4,"F",2389
5,"F",2290
6,"F",2439
7,"F",2740
8,"F",2738
9,"F",1
10,"F",0
11,"F",0
12,"F",0
1,"G",3043
2,"G",2981
3,"G",3221
4,"G",3181
5,"G",3233
6,"G",3284
7,"G",3342
8,"G",3269
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",3106
2,"H",2943
3,"H",2883
4,"H",2966
5,"H",2737
6,"H",3059
7,"H",2504
8,"H",2233
9,"H",3
10,"H",0
11,"H",0
12,"H",0
