"X","Y","Z"
1,"A",2376
2,"A",1591
3,"A",1598
4,"A",1782
5,"A",1716
6,"A",1707
7,"A",1667
8,"A",2006
9,"A",3
10,"A",0
11,"A",0
12,"A",0
1,"B",1827
2,"B",1472
3,"B",1560
4,"B",1225
5,"B",1441
6,"B",1415
7,"B",1494
8,"B",1706
9,"B",7
10,"B",0
11,"B",0
12,"B",0
1,"C",2146
2,"C",1902
3,"C",1976
4,"C",1971
5,"C",1874
6,"C",1928
7,"C",2258
8,"C",2163
9,"C",1
10,"C",0
11,"C",0
12,"C",0
1,"D",2011
2,"D",1824
3,"D",1916
4,"D",1995
5,"D",2123
6,"D",2111
7,"D",2203
8,"D",1883
9,"D",3
10,"D",0
11,"D",1
12,"D",0
1,"E",1865
2,"E",1726
3,"E",1646
4,"E",1781
5,"E",1857
6,"E",1729
7,"E",1840
8,"E",1942
9,"E",8
10,"E",0
11,"E",1
12,"E",1
1,"F",1872
2,"F",1549
3,"F",1441
4,"F",1480
5,"F",1337
6,"F",1426
7,"F",1587
8,"F",1975
9,"F",8
10,"F",1
11,"F",0
12,"F",1
1,"G",2093
2,"G",2030
3,"G",2110
4,"G",2344
5,"G",2359
6,"G",2308
7,"G",2330
8,"G",1670
9,"G",3
10,"G",1
11,"G",1
12,"G",0
1,"H",2697
2,"H",2517
3,"H",2366
4,"H",2022
5,"H",2119
6,"H",2172
7,"H",1954
8,"H",1032
9,"H",10
10,"H",0
11,"H",0
12,"H",0
