"X","Y","Z"
1,"A",1777
2,"A",2399
3,"A",2139
4,"A",2465
5,"A",2439
6,"A",2582
7,"A",2474
8,"A",2298
9,"A",0
10,"A",0
11,"A",0
12,"A",0
1,"B",2435
2,"B",2164
3,"B",2239
4,"B",2140
5,"B",1935
6,"B",1951
7,"B",1905
8,"B",2080
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",2184
2,"C",2390
3,"C",2286
4,"C",2237
5,"C",2236
6,"C",2217
7,"C",2286
8,"C",2264
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",2165
2,"D",2283
3,"D",2222
4,"D",2168
5,"D",2072
6,"D",2194
7,"D",2075
8,"D",1886
9,"D",1
10,"D",0
11,"D",0
12,"D",0
1,"E",2016
2,"E",2019
3,"E",2075
4,"E",2037
5,"E",2040
6,"E",2056
7,"E",1988
8,"E",1949
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",2075
2,"F",1868
3,"F",1730
4,"F",1684
5,"F",1644
6,"F",1722
7,"F",1521
8,"F",1701
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",2003
2,"G",2067
3,"G",1936
4,"G",1961
5,"G",1912
6,"G",1883
7,"G",2034
8,"G",1952
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",2027
2,"H",1980
3,"H",1985
4,"H",2012
5,"H",2134
6,"H",1983
7,"H",1963
8,"H",1955
9,"H",0
10,"H",0
11,"H",0
12,"H",0
