"X","Y","Z"
1,"A",1816
2,"A",1677
3,"A",1776
4,"A",1721
5,"A",1694
6,"A",1825
7,"A",1770
8,"A",1772
9,"A",0
10,"A",0
11,"A",1
12,"A",0
1,"B",1845
2,"B",1713
3,"B",1561
4,"B",1536
5,"B",1511
6,"B",1461
7,"B",1497
8,"B",1480
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",1764
2,"C",1652
3,"C",1609
4,"C",1674
5,"C",1687
6,"C",1677
7,"C",1562
8,"C",1595
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",1488
2,"D",1471
3,"D",1372
4,"D",1415
5,"D",465
6,"D",1357
7,"D",1407
8,"D",1467
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",979
2,"E",1425
3,"E",1107
4,"E",1439
5,"E",1285
6,"E",1333
7,"E",1441
8,"E",1430
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",1544
2,"F",1385
3,"F",1290
4,"F",1116
5,"F",1022
6,"F",981
7,"F",1041
8,"F",1125
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",1368
2,"G",1278
3,"G",1327
4,"G",1226
5,"G",1395
6,"G",1395
7,"G",1411
8,"G",1437
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",1136
2,"H",1184
3,"H",1294
4,"H",1327
5,"H",1350
6,"H",1256
7,"H",1143
8,"H",1099
9,"H",0
10,"H",0
11,"H",1
12,"H",0
