"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
1,"Specimen_001_A1_A01_001.fcs",NA,47.5800018310547,NA,29.8776487846374,NA,NA
2,"Specimen_001_A2_A02_002.fcs",27546.380859375,61.3050003051758,10085.29528125,62.5879259498596,219.571710053858,449.33334511458
3,"Specimen_001_A3_A03_003.fcs",30614.0703125,61.6100006103516,11021.4419167969,70.455003619194,216.822501897979,496.900990248591
4,"Specimen_001_A4_A04_004.fcs",31453.431640625,68.3199996948242,10539.5023779297,82.4566611339569,190.312772851321,460.383954641731
5,"Specimen_001_A5_A05_005.fcs",29927.2109375,81.1300048828125,10610.3720996094,115.595001220703,129.097628000508,368.879688602609
6,"Specimen_001_A6_A06_006.fcs",29691.140625,96.9900054931641,11352.6861796875,178.872626329803,82.7240903953114,306.125775269625
7,"Specimen_001_A7_A07_007.fcs",32413.265625,121.08500289917,11183.1858579102,304.585054714203,53.0101200342891,267.690175074705
8,"Specimen_001_A8_A08_008.fcs",32472.740234375,226.310012817383,11271.6738671875,532.736058703613,30.2649217137917,143.487863528948
9,"Specimen_001_B1_B01_013.fcs",NA,97.1999969482422,NA,110.709666098022,NA,NA
10,"Specimen_001_B2_B02_014.fcs",7310.25,123.930000305176,3820.77938894043,136.484996318817,26.3264102044894,58.9869279593207
11,"Specimen_001_B3_B03_015.fcs",12252.8701171875,125.954998016357,6082.45987460937,164.396592420578,36.8831097427698,97.2797452277063
12,"Specimen_001_B4_B04_016.fcs",19769.2646484375,130.815002441406,8924.24462299805,190.009232501221,51.6776195226985,151.123833501378
13,"Specimen_001_B5_B05_017.fcs",25781.490234375,168.884994506836,11149.2832806641,186.484757384801,68.6721145445094,152.65708069364
14,"Specimen_001_B6_B06_018.fcs",33625.935546875,151.470001220703,14937.4588725586,272.385828953552,61.4467824450633,221.997328024574
15,"Specimen_001_B7_B07_019.fcs",38284.244140625,148.229995727539,18162.9686900391,397.422543115234,47.9791783399662,258.275957930911
16,"Specimen_001_B8_B08_020.fcs",41761.169921875,338.580001831055,18524.6184366211,970.14812026062,21.3485905167327,123.342104365376
17,"Specimen_001_C1_C01_025.fcs",NA,164.910003662109,NA,69.6900024414062,NA,NA
18,"Specimen_001_C2_C02_026.fcs",3988.19995117188,147.660003662109,2492.37620146484,223.261650452042,8.60098440492077,27.0093447938555
19,"Specimen_001_C3_C03_027.fcs",7080.08984375,164.910003662109,4196.3883,305.926989578247,11.3020100802829,42.9330524924169
20,"Specimen_001_C4_C04_028.fcs",9969.1201171875,209.759994506836,5547.55683085937,454.714131469726,10.7313138599151,47.5263175927601
21,"Specimen_001_C5_C05_029.fcs",13809.3149414062,192.509994506836,7496.6537088623,518.055796966553,13.142218489429,71.7329766528869
22,"Specimen_001_C6_C06_030.fcs",16883.955078125,265.649993896484,10957.0436529541,822.082690008545,10.1074413110777,63.5571446115077
23,"Specimen_001_C7_C07_031.fcs",16260.884765625,455.744995117188,13824.0723502686,1195.89375477295,6.60808692554321,35.6797879073664
24,"Specimen_001_C8_C08_032.fcs",18070.41015625,349.829986572266,15122.1170074463,1140.19988592224,7.77082176049535,51.654834776484
