"X","Y","Z"
1,"A",2263
2,"A",1744
3,"A",1836
4,"A",1321
5,"A",1836
6,"A",1807
7,"A",2085
8,"A",1853
9,"A",0
10,"A",4
11,"A",2
12,"A",2
1,"B",2087
2,"B",1834
3,"B",1868
4,"B",1780
5,"B",1560
6,"B",1566
7,"B",1557
8,"B",1823
9,"B",5
10,"B",2
11,"B",2
12,"B",1
1,"C",1968
2,"C",1846
3,"C",1806
4,"C",1909
5,"C",1705
6,"C",1753
7,"C",1738
8,"C",1877
9,"C",4
10,"C",2
11,"C",0
12,"C",2
1,"D",2565
2,"D",1597
3,"D",1589
4,"D",1490
5,"D",1758
6,"D",1727
7,"D",1658
8,"D",1940
9,"D",0
10,"D",1
11,"D",2
12,"D",1
1,"E",2059
2,"E",1828
3,"E",1885
4,"E",1683
5,"E",1696
6,"E",1708
7,"E",1656
8,"E",1892
9,"E",5
10,"E",1
11,"E",3
12,"E",5
1,"F",1952
2,"F",1830
3,"F",1693
4,"F",1695
5,"F",1580
6,"F",1487
7,"F",1444
8,"F",1682
9,"F",0
10,"F",2
11,"F",1
12,"F",0
1,"G",1985
2,"G",1780
3,"G",1987
4,"G",1821
5,"G",2010
6,"G",1985
7,"G",2087
8,"G",2050
9,"G",2
10,"G",4
11,"G",1
12,"G",7
1,"H",1507
2,"H",1595
3,"H",1483
4,"H",1456
5,"H",1619
6,"H",1601
7,"H",1606
8,"H",1515
9,"H",1
10,"H",3
11,"H",2
12,"H",2
