"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
1,"Specimen_001_A1_A01_001.fcs",NA,49.7700004577637,NA,32.4449987411499,NA,NA
2,"Specimen_001_A2_A02_002.fcs",34913.96875,66.1500015258789,9969.89952607422,52.2899990081787,333.216861823076,527.799968928816
3,"Specimen_001_A3_A03_003.fcs",36242.640625,68.0400009155273,10203.5390697266,61.4249963760376,294.461560914283,532.666668685025
4,"Specimen_001_A4_A04_004.fcs",36298.078125,69.3000030517578,10394.1273203125,64.8899981975555,279.15533308886,523.781768059811
5,"Specimen_001_A5_A05_005.fcs",35924.48828125,73.7099990844727,10614.4678011719,87.5681056728363,204.702260067768,487.376051111872
6,"Specimen_001_A6_A06_006.fcs",34771.58984375,95.7600021362305,9636.96368652344,136.37074174881,127.138084742127,363.111832373219
7,"Specimen_001_A7_A07_007.fcs",36792.62890625,82.5299987792969,10982.6594799805,115.934867237854,158.322081105055,445.80915364656
8,"Specimen_001_A8_A08_008.fcs",37352.0703125,163.169998168945,11267.1892265625,241.738021258545,76.9198409929826,228.915062399068
9,"Specimen_001_B1_B01_013.fcs",NA,102.919998168945,NA,91.2999968528748,NA,NA
10,"Specimen_001_B2_B02_014.fcs",10300.2998046875,127.819999694824,5126.17330444336,135.290003657341,37.5950902875177,80.5844142487867
11,"Specimen_001_B3_B03_015.fcs",16960.21875,133.630004882812,7659.28208095703,158.872621846771,52.9562254009568,126.919240666595
12,"Specimen_001_B4_B04_016.fcs",24341.41015625,137.779998779297,11365.0590595703,178.568185122681,67.7713953939842,176.668677398098
13,"Specimen_001_B5_B05_017.fcs",33015.73828125,152.720001220703,13994.3380476563,209.580475951767,78.4019077416172,216.184769626457
14,"Specimen_001_B6_B06_018.fcs",39595.98046875,172.639999389648,15812.1619171875,265.595010864258,74.2170200055247,229.355772756821
15,"Specimen_001_B7_B07_019.fcs",45760.390625,216.214996337891,18393.3248404297,292.649998176193,77.8133878566466,211.643000717156
16,"Specimen_001_B8_B08_020.fcs",48394.80859375,178.86499786377,20763.0878517578,352.395588489532,68.4116730895433,270.566120659389
17,"Specimen_001_C1_C01_025.fcs",NA,133.5,NA,63.75,NA,NA
18,"Specimen_001_C2_C02_026.fcs",5335.875,132.75,2878.386825,194.8027125,13.3548576742739,40.1949152542373
19,"Specimen_001_C3_C03_027.fcs",9051,129.75,5027.941125,269.013075,16.581443113871,69.757225433526
20,"Specimen_001_C4_C04_028.fcs",12804.375,148.5,6999.15296249999,322.13625,19.6436678579328,86.2247474747475
21,"Specimen_001_C5_C05_029.fcs",17628.375,142.5,9114.329925,337.260225,25.9234171476936,123.707894736842
22,"Specimen_001_C6_C06_030.fcs",21995.25,164.25,9764.3223,524.83755,20.7978640247825,133.913242009132
23,"Specimen_001_C7_C07_031.fcs",24693,273.75,10611.4266,736.032,16.5884431655145,90.2027397260274
24,"Specimen_001_C8_C08_032.fcs",28042.5,395.25,14801.4670125,924.702225,14.9492719129123,70.9487666034156
25,"Specimen_001_D1_D01_037.fcs",2593.49987792969,10.9200000762939,21753.7052116211,44.8499975204468,28.7913045778432,237.499987162077
26,"Specimen_001_D2_D02_038.fcs",51975.296875,21.8400001525879,12919.2892441406,70.1767919845581,370.161241385039,2379.82126885843
27,"Specimen_001_D3_D03_039.fcs",50275.6796875,33.9299983978271,14264.295465625,85.4546530885696,293.967314085454,1481.74718719467
28,"Specimen_001_D4_D04_040.fcs",50955.05859375,29.6399993896484,14199.3562230469,119.773831658935,212.589920056052,1719.13156690367
29,"Specimen_001_D5_D05_041.fcs",49251.537109375,25.7399997711182,13583.9068748047,103.179135926819,238.545306022518,1913.42414713765
30,"Specimen_001_D6_D06_042.fcs",50830.6484375,13.2599992752075,14375.584703125,146.601777355194,173.317777434246,3833.38244463852
