"X","Y","Z"
1,"A",3313
2,"A",1692
3,"A",1720
4,"A",2017
5,"A",1635
6,"A",1935
7,"A",2039
8,"A",2301
9,"A",2
10,"A",1
11,"A",0
12,"A",0
1,"B",2308
2,"B",1734
3,"B",1691
4,"B",1617
5,"B",1448
6,"B",1138
7,"B",1420
8,"B",1694
9,"B",2
10,"B",5
11,"B",0
12,"B",1
1,"C",2378
2,"C",2069
3,"C",1842
4,"C",1784
5,"C",1753
6,"C",1868
7,"C",1823
8,"C",2216
9,"C",1
10,"C",3
11,"C",4
12,"C",5
1,"D",2145
2,"D",1975
3,"D",1697
4,"D",1832
5,"D",1651
6,"D",1721
7,"D",1658
8,"D",1924
9,"D",5
10,"D",1
11,"D",1
12,"D",0
1,"E",2278
2,"E",1702
3,"E",1478
4,"E",1313
5,"E",1407
6,"E",1447
7,"E",1558
8,"E",1873
9,"E",4
10,"E",3
11,"E",2
12,"E",2
1,"F",2147
2,"F",1691
3,"F",1662
4,"F",1406
5,"F",1343
6,"F",1316
7,"F",1327
8,"F",1493
9,"F",2
10,"F",0
11,"F",0
12,"F",4
1,"G",2053
2,"G",1868
3,"G",1806
4,"G",1817
5,"G",1845
6,"G",1746
7,"G",1813
8,"G",2049
9,"G",7
10,"G",4
11,"G",3
12,"G",6
1,"H",1857
2,"H",1886
3,"H",1930
4,"H",1902
5,"H",1910
6,"H",2069
7,"H",1858
8,"H",1746
9,"H",2
10,"H",1
11,"H",0
12,"H",15
