"X","Y","Z"
1,"A",2650
2,"A",2774
3,"A",2644
4,"A",2605
5,"A",2748
6,"A",2615
7,"A",2699
8,"A",1802
9,"A",5
10,"A",0
11,"A",0
12,"A",0
1,"B",2683
2,"B",2712
3,"B",2530
4,"B",2468
5,"B",2450
6,"B",2296
7,"B",2328
8,"B",1815
9,"B",3
10,"B",0
11,"B",1
12,"B",0
1,"C",2613
2,"C",2427
3,"C",2493
4,"C",2425
5,"C",2321
6,"C",2399
7,"C",2363
8,"C",2165
9,"C",1
10,"C",0
11,"C",0
12,"C",0
1,"D",2580
2,"D",2541
3,"D",2234
4,"D",2189
5,"D",2219
6,"D",2010
7,"D",2007
8,"D",2289
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2534
2,"E",2571
3,"E",2457
4,"E",2467
5,"E",2204
6,"E",2248
7,"E",2181
8,"E",2334
9,"E",1
10,"E",0
11,"E",1
12,"E",0
1,"F",2316
2,"F",2287
3,"F",2128
4,"F",2169
5,"F",2078
6,"F",2013
7,"F",2129
8,"F",2150
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",2463
2,"G",2026
3,"G",2088
4,"G",1984
5,"G",1863
6,"G",1838
7,"G",1699
8,"G",1965
9,"G",0
10,"G",1
11,"G",0
12,"G",0
1,"H",2265
2,"H",1957
3,"H",1883
4,"H",1939
5,"H",1898
6,"H",2042
7,"H",1821
8,"H",1893
9,"H",0
10,"H",NA
11,"H",NA
12,"H",NA
