"X","Y","Z"
1,"A",2254
2,"A",2422
3,"A",2382
4,"A",2101
5,"A",2422
6,"A",2442
7,"A",2146
8,"A",2154
9,"A",1
10,"A",0
11,"A",0
12,"A",0
1,"B",2402
2,"B",2214
3,"B",2083
4,"B",2173
5,"B",2272
6,"B",2084
7,"B",1910
8,"B",2116
9,"B",2
10,"B",0
11,"B",0
12,"B",0
1,"C",2174
2,"C",1851
3,"C",1843
4,"C",1604
5,"C",1718
6,"C",1610
7,"C",1558
8,"C",1691
9,"C",1
10,"C",0
11,"C",1
12,"C",0
1,"D",2233
2,"D",1907
3,"D",1875
4,"D",1747
5,"D",1868
6,"D",1702
7,"D",1732
8,"D",1885
9,"D",0
10,"D",1
11,"D",0
12,"D",0
1,"E",2146
2,"E",1837
3,"E",1635
4,"E",1937
5,"E",1714
6,"E",1730
7,"E",1759
8,"E",1922
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",2492
2,"F",1835
3,"F",1845
4,"F",1777
5,"F",1767
6,"F",1776
7,"F",1772
8,"F",1925
9,"F",0
10,"F",0
11,"F",0
12,"F",1
1,"G",2289
2,"G",1933
3,"G",1853
4,"G",1917
5,"G",2018
6,"G",2035
7,"G",2031
8,"G",2030
9,"G",1
10,"G",0
11,"G",0
12,"G",0
1,"H",2079
2,"H",1646
3,"H",1619
4,"H",1601
5,"H",1577
6,"H",1627
7,"H",1493
8,"H",1714
9,"H",0
10,"H",0
11,"H",1
12,"H",0
