"PLATE","REAGENT","MEAN.8CHL","MEAN.96CR","MIN.8CHL","MIN.96CR","MAX.8CHL","MAX.96CR","SD.8CHL","SD.96CR","PCT.DIFF","CV.8CHL","CV.96CR"
"PLATE 1","BV-421","2.23e+03","1.89e+03","1.70e+03","1.49e+03","2.77e+03","2.44e+03","2.78e+02","2.35e+02","30.5%","1.25e-01","1.24e-01"
"PLATE 2","BV-421","2.11e+03","1.51e+03","1.62e+03","1.25e+03","2.53e+03","1.87e+03","2.31e+02","1.30e+02","57.48%","1.09e-01","8.63e-02"
"PLATE 3","BV-421","1.89e+03","1.53e+03","1.31e+03","1.10e+03","2.47e+03","2.05e+03","2.39e+02","2.06e+02","38.8%","1.26e-01","1.35e-01"
