"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"1.76e+01","7.72e-01","1.71e+01","1.82e+01","2.07e+01","6.15e+00","1.63e+01","2.50e+01","8.81%","4.39e-02","2.97e-01","C2-G2","BB-515"
"1.86e+01","9.08e-01","1.80e+01","1.93e+01","2.10e+01","1.28e-01","2.09e+01","2.11e+01","6.45%","4.88e-02","6.10e-03","C3-G3","BB-515"
"1.98e+01","3.91e-01","1.95e+01","2.01e+01","1.87e+01","8.62e-01","1.81e+01","1.93e+01","2.78%","1.97e-02","4.61e-02","C4-G4","BB-515"
"1.85e+01","5.12e-01","1.82e+01","1.89e+01","1.61e+01","9.20e-01","1.55e+01","1.68e+01","6.49%","2.77e-02","5.71e-02","C5-G5","BB-515"
"2.04e+01","4.43e-01","2.01e+01","2.07e+01","1.75e+01","7.83e-01","1.70e+01","1.81e+01","7.11%","2.17e-02","4.47e-02","C6-G6","BB-515"
"1.73e+01","2.91e+00","1.52e+01","1.94e+01","1.43e+01","4.06e+00","1.15e+01","1.72e+01","8.67%","1.68e-01","2.84e-01","C7-G7","BB-515"
"1.28e+01","1.00e+00","1.21e+01","1.35e+01","1.20e+01","6.16e+00","7.67e+00","1.64e+01","3.13%","7.81e-02","5.13e-01","C8-G8","BB-515"
