"WILCOXON_TEST","T_TEST"
"3.33e-01","2.77e-01"
"3.33e-01","2.66e-01"
"1.00e+00","7.32e-01"
"3.33e-01","2.34e-01"
"1.00e+00","8.31e-01"
"6.67e-01","8.44e-01"
"6.67e-01","4.98e-01"
