"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"1.06e+01","2.76e+00","8.60e+00","1.25e+01","1.14e+01","1.61e+00","1.02e+01","1.25e+01","3.77%","2.60e-01","1.41e-01","C2-G2","BB-515"
"1.29e+01","2.23e+00","1.13e+01","1.45e+01","1.62e+01","5.37e+00","1.24e+01","2.00e+01","12.79%","1.73e-01","3.31e-01","C3-G3","BB-515"
"1.05e+01","3.31e-01","1.03e+01","1.07e+01","1.47e+01","4.45e+00","1.16e+01","1.79e+01","20%","3.15e-02","3.03e-01","C4-G4","BB-515"
"1.60e+01","4.10e+00","1.31e+01","1.89e+01","1.47e+01","7.17e+00","9.64e+00","1.98e+01","4.06%","2.56e-01","4.88e-01","C5-G5","BB-515"
"1.56e+01","7.75e+00","1.01e+01","2.11e+01","1.63e+01","6.01e+00","1.20e+01","2.05e+01","2.24%","4.97e-01","3.69e-01","C6-G6","BB-515"
"1.28e+01","8.70e+00","6.61e+00","1.89e+01","1.30e+01","2.90e+00","1.10e+01","1.51e+01","0.78%","6.80e-01","2.23e-01","C7-G7","BB-515"
"1.06e+01","3.93e+00","7.77e+00","1.33e+01","7.97e+00","1.06e+01","4.53e-01","1.55e+01","12.41%","3.71e-01","1.33e+00","C8-G8","BB-515"
