"F_TEST","GT_A_FT","WILCOXON_TEST","GT_A_WX","T_TEST","GT_A_TT"
"1e-05",FALSE,"1.6e-16",FALSE,"6.6e-20",FALSE
"0.36",TRUE,"2e-06",FALSE,"1.2e-05",FALSE
"0.00012",FALSE,"0.0055",FALSE,"0.00049",FALSE
