"METHOD","MEAN.","MIN.","MAX.","SD.","CV."
"8CHL","3.56e-01","3.30e-01","3.81e-01","1.12e-02","3.15e-02"
"MNL","3.36e-01","3.24e-01","3.47e-01","5.38e-03","1.60e-02"
"96CR","3.54e-01","3.36e-01","3.67e-01","7.27e-03","2.05e-02"
