"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"2.74e+01","1.51e+00","2.63e+01","2.85e+01","3.43e+01","3.26e+00","3.20e+01","3.66e+01","12.59%","5.51e-02","9.50e-02","B2-F2","BUV-395"
"4.29e+01","2.53e+00","4.12e+01","4.47e+01","4.71e+01","4.62e+00","4.39e+01","5.04e+01","4.9%","5.90e-02","9.81e-02","B3-F3","BUV-395"
"6.37e+01","4.36e+00","6.06e+01","6.67e+01","6.15e+01","9.01e-02","6.14e+01","6.16e+01","1.73%","6.84e-02","1.47e-03","B4-F4","BUV-395"
"7.09e+01","1.68e+00","6.97e+01","7.21e+01","6.55e+01","2.80e-01","6.53e+01","6.57e+01","3.81%","2.37e-02","4.27e-03","B5-F5","BUV-395"
"7.22e+01","5.87e+00","6.81e+01","7.64e+01","6.39e+01","1.04e+01","5.65e+01","7.12e+01","5.75%","8.13e-02","1.63e-01","B6-F6","BUV-395"
"6.78e+01","8.96e+00","6.15e+01","7.41e+01","6.98e+01","1.09e+01","6.22e+01","7.75e+01","1.47%","1.32e-01","1.56e-01","B7-F7","BUV-395"
"6.03e+01","1.66e+00","5.92e+01","6.15e+01","5.60e+01","1.75e+00","5.48e+01","5.72e+01","3.57%","2.75e-02","3.12e-02","B8-F8","BUV-395"
