"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"8.23e-01","9.58e-01","8.13e-01","8.19e-01"
"1.04e-01","1.29e-01","6.23e-01","8.42e-01"
"2.20e-01","5.15e-01","8.94e-01","8.10e-01"
"2.36e-01","8.11e-01","8.72e-01","8.12e-01"
"3.11e-01","9.58e-01","5.41e-01","8.53e-01"
"2.32e-01","5.71e-02","5.31e-01","8.54e-01"
"5.83e-01","2.86e-01","2.74e-01","8.99e-01"
