"F_TEST","NA","NA"
"9.65e-01",NA,NA
"4.05e-01",NA,NA
"6.54e-01",NA,NA
"8.91e-02",NA,NA
"5.68e-01",NA,NA
"5.11e-01",NA,NA
"2.36e-01",NA,NA
