"PLATE_PAIR","METHOD","F_TEST","GT_A_FT","WILCOXON_TEST","GT_A_WX","T_TEST","GT_A_TT"
"1-2","8CHL-MNL","0.00e+00",FALSE,"7.37e-45",FALSE,"4.77e-42",FALSE
"2-3","MNL-96CR","3.48e-06",FALSE,"1.30e-42",FALSE,"2.52e-43",FALSE
"1-3","8CHL-96CR","2.85e-06",FALSE,"1.21e-02",FALSE,"3.82e-03",FALSE
