"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"4.90e-01","4.95e-01","9.24e-02","9.58e-01"
"7.26e-01","1.69e-01","4.54e-02","9.92e-01"
"9.10e-01","1.40e-01","4.32e-02","9.94e-01"
"4.35e-01","6.70e-01","2.07e-01","9.15e-01"
"8.20e-01","1.76e-01","5.44e-02","9.84e-01"
"6.94e-01","6.58e-01","3.38e-01","8.86e-01"
"8.68e-01","9.46e-01","8.79e-01","8.11e-01"
