"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"4.68e-01","7.49e-01","3.75e-01","8.79e-01"
"1.59e-01","1.52e-01","6.18e-01","8.42e-01"
"7.06e-01","4.28e-01","7.00e-02","9.72e-01"
"8.28e-03","8.91e-03","4.64e-01","8.64e-01"
"7.01e-01","7.72e-01","9.65e-01","8.02e-01"
"2.29e-01","1.68e-01","6.42e-01","8.39e-01"
"6.96e-01","4.58e-01","7.19e-02","9.70e-01"
