"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"2.47e+01","2.29e+00","2.31e+01","2.63e+01","2.88e+01","1.73e+00","2.76e+01","3.00e+01","8.3%","9.27e-02","6.01e-02","B2-F2","BUV-395"
"3.21e+01","6.80e+00","2.73e+01","3.69e+01","3.98e+01","5.58e-01","3.94e+01","4.02e+01","11.99%","2.12e-01","1.40e-02","B3-F3","BUV-395"
"4.79e+01","5.29e+00","4.42e+01","5.17e+01","4.63e+01","9.23e-01","4.57e+01","4.70e+01","1.67%","1.10e-01","1.99e-02","B4-F4","BUV-395"
"6.54e+01","4.59e+00","6.22e+01","6.87e+01","6.46e+01","8.61e-01","6.40e+01","6.52e+01","0.61%","7.02e-02","1.33e-02","B5-F5","BUV-395"
"6.96e+01","1.16e+01","6.14e+01","7.78e+01","6.84e+01","2.88e+00","6.64e+01","7.05e+01","0.86%","1.67e-01","4.21e-02","B6-F6","BUV-395"
"5.69e+01","1.26e+01","4.80e+01","6.58e+01","6.76e+01","2.31e+00","6.59e+01","6.92e+01","9.4%","2.21e-01","3.42e-02","B7-F7","BUV-395"
"3.42e+01","1.81e+01","2.13e+01","4.70e+01","4.77e+01","3.68e+01","2.17e+01","7.37e+01","19.74%","5.29e-01","7.71e-01","B8-F8","BUV-395"
