"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"3.03e+02","9.25e+00","2.97e+02","3.10e+02","2.80e+02","3.42e+01","2.56e+02","3.05e+02","3.8%","3.05e-02","1.22e-01","A2-E2","BV-421"
"3.18e+02","2.29e+01","3.01e+02","3.34e+02","2.66e+02","5.58e+00","2.62e+02","2.70e+02","8.18%","7.20e-02","2.10e-02","A3-E3","BV-421"
"2.82e+02","1.16e-01","2.81e+02","2.82e+02","2.28e+02","6.28e+00","2.24e+02","2.32e+02","9.57%","4.11e-04","2.75e-02","A4-E4","BV-421"
"2.25e+02","1.10e-01","2.25e+02","2.25e+02","1.94e+02","3.97e+00","1.91e+02","1.97e+02","6.89%","4.89e-04","2.05e-02","A5-E5","BV-421"
"1.65e+02","6.63e+00","1.60e+02","1.69e+02","1.64e+02","1.49e+01","1.53e+02","1.74e+02","0.3%","4.02e-02","9.09e-02","A6-E6","BV-421"
"1.19e+02","4.73e+00","1.16e+02","1.22e+02","1.08e+02","5.61e+00","1.04e+02","1.12e+02","4.62%","3.97e-02","5.19e-02","A7-E7","BV-421"
"9.54e+01","2.18e+00","9.39e+01","9.70e+01","1.08e+02","1.55e+01","9.72e+01","1.19e+02","6.6%","2.29e-02","1.44e-01","A8-E8","BV-421"
