"PLATE_PAIR","METHOD","F_TEST","GT_A_FT","WILCOXON_TEST","GT_A_WX","T_TEST","GT_A_TT"
"1-2","8CHL-MNL","2.18e-14",FALSE,"2.68e-42",FALSE,"2.85e-55",FALSE
"2-3","MNL-96CR","4.19e-02",FALSE,"1.50e-48",FALSE,"2.19e-72",FALSE
"1-3","8CHL-96CR","8.89e-09",FALSE,"1.02e-01",TRUE,"1.47e-01",TRUE
