"F_TEST","NA","NA"
"9.07e-01",NA,NA
"8.64e-01",NA,NA
"7.03e-01",NA,NA
"9.34e-01",NA,NA
"8.93e-01",NA,NA
"6.87e-01",NA,NA
"5.97e-01",NA,NA
