"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N"
"2.51e+02","2.12e+01","1.67e+02","2.24e+02","1.94e+02","2.12e+01","1.67e+02","2.24e+02"
"2.47e+02","1.88e+01","1.41e+02","1.94e+02","1.68e+02","1.88e+01","1.41e+02","1.94e+02"
"2.35e+02","3.02e+01","1.05e+02","1.89e+02","1.54e+02","3.02e+01","1.05e+02","1.89e+02"
"2.17e+02","1.79e+01","1.02e+02","1.52e+02","1.31e+02","1.79e+01","1.02e+02","1.52e+02"
"1.80e+02","1.55e+01","9.10e+01","1.30e+02","1.12e+02","1.55e+01","9.10e+01","1.30e+02"
"1.40e+02","8.89e+00","7.30e+01","9.80e+01","8.68e+01","8.89e+00","7.30e+01","9.80e+01"
"1.14e+02","1.06e+01","4.90e+01","7.70e+01","6.18e+01","1.06e+01","4.90e+01","7.70e+01"
