"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"6.73e-01","2.74e-01","1.36e-01","9.38e-01"
"5.01e-01","3.84e-01","8.45e-01","8.15e-01"
"9.46e-02","5.08e-02","5.20e-01","8.56e-01"
"6.61e-01","4.30e-01","1.03e-01","9.53e-01"
"8.39e-01","1.64e-01","4.76e-02","9.90e-01"
"4.10e-01","9.67e-01","2.95e-01","8.94e-01"
"4.52e-01","6.39e-01","3.36e-01","8.86e-01"
