"F_TEST","NA","NA"
"9.35e-01",NA,NA
"6.23e-01",NA,NA
"9.48e-01",NA,NA
"6.83e-01",NA,NA
"5.67e-01",NA,NA
"8.91e-01",NA,NA
"9.58e-01",NA,NA
