"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N"
"6.50e+01","9.87e+00","4.90e+01","7.50e+01","6.17e+01","9.87e+00","4.90e+01","7.50e+01"
"8.45e+01","1.02e+01","6.20e+01","8.90e+01","7.43e+01","1.02e+01","6.20e+01","8.90e+01"
"1.00e+02","5.01e+00","6.60e+01","8.10e+01","7.53e+01","5.01e+00","6.60e+01","8.10e+01"
"1.14e+02","1.15e+01","6.00e+01","9.20e+01","7.88e+01","1.15e+01","6.00e+01","9.20e+01"
"1.01e+02","5.24e+00","5.90e+01","7.10e+01","6.47e+01","5.24e+00","5.90e+01","7.10e+01"
"9.33e+01","7.71e+00","3.90e+01","6.30e+01","5.25e+01","7.71e+00","3.90e+01","6.30e+01"
"8.15e+01","7.08e+00","3.60e+01","5.70e+01","4.68e+01","7.08e+00","3.60e+01","5.70e+01"
