"METHOD","MEAN.","MIN.","MAX.","SD.","CV."
"8CHL","3.56e-01","3.24e-01","4.87e-01","1.75e-02","4.92e-02"
"MNL","3.34e-01","3.00e-01","3.63e-01","8.87e-03","2.65e-02"
"96CR","3.52e-01","2.75e-01","4.14e-01","1.24e-02","3.54e-02"
