"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"1.59e-01","9.21e-02","5.58e-01","8.50e-01"
"1.79e-01","4.08e-01","1.50e-01","9.33e-01"
"5.42e-01","5.93e-01","9.84e-01","8.00e-01"
"6.46e-01","8.18e-01","2.06e-01","9.16e-01"
"6.55e-01","5.94e-01","9.90e-02","9.55e-01"
"7.91e-01","9.03e-01","5.67e-01","8.49e-01"
"2.05e-01","8.95e-01","9.36e-01","8.05e-01"
