"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"2.24e+02","6.80e+00","2.20e+02","2.29e+02","2.44e+02","3.48e+00","2.41e+02","2.46e+02","4.46%","3.04e-02","1.43e-02","A2-E2","BV-421"
"2.48e+02","4.34e+01","2.17e+02","2.78e+02","2.50e+02","5.64e+01","2.10e+02","2.90e+02","0.4%","1.75e-01","2.26e-01","A3-E3","BV-421"
"2.10e+02","2.82e+01","1.90e+02","2.30e+02","2.42e+02","1.39e+01","2.32e+02","2.52e+02","7.62%","1.34e-01","5.74e-02","A4-E4","BV-421"
"1.28e+02","1.12e+00","1.28e+02","1.29e+02","2.00e+02","1.39e+00","2.00e+02","2.01e+02","28.12%","8.75e-03","6.95e-03","A5-E5","BV-421"
"1.12e+02","4.16e+01","8.27e+01","1.42e+02","1.21e+02","3.38e+01","9.69e+01","1.45e+02","4.02%","3.71e-01","2.79e-01","A6-E6","BV-421"
"8.31e+01","4.25e+01","5.30e+01","1.13e+02","1.20e+02","3.55e+00","1.17e+02","1.23e+02","22.2%","5.11e-01","2.96e-02","A7-E7","BV-421"
"5.51e+01","3.52e+01","3.03e+01","8.00e+01","9.20e+01","6.90e+00","8.71e+01","9.69e+01","33.48%","6.39e-01","7.50e-02","A8-E8","BV-421"
