"PLATE","REAGENT","MEAN.8CHL","MEAN.96CR","MIN.8CHL","MIN.96CR","MAX.8CHL","MAX.96CR","SD.8CHL","SD.96CR","PCT.DIFF","CV.8CHL","CV.96CR"
"PLATE 1","BV-421","3.07e+04","3.02e+04","2.87e+04","2.88e+04","3.23e+04","3.22e+04","7.83e+02","6.30e+02","2.88%","2.55e-02","2.09e-02"
"PLATE 2","BV-421","2.99e+04","3.21e+04","2.81e+04","3.03e+04","3.16e+04","3.34e+04","7.43e+02","7.48e+02","14.41%","2.48e-02","2.33e-02"
"PLATE 3","BV-421","2.90e+04","3.03e+04","2.77e+04","2.84e+04","3.03e+04","3.17e+04","6.56e+02","6.86e+02","9.03%","2.26e-02","2.26e-02"
