"PLATE","REAGENT","MEAN.8CHL","MEAN.96CR","MIN.8CHL","MIN.96CR","MAX.8CHL","MAX.96CR","SD.8CHL","SD.96CR","PCT.DIFF","CV.8CHL","CV.96CR"
"PLATE 1","BV-421","2.56e+02","2.88e+02","1.96e+02","2.66e+02","3.40e+02","3.11e+02","3.76e+01","9.64e+00","24.79%","1.47e-01","3.35e-02"
"PLATE 2","BV-421","3.30e+02","2.67e+02","2.92e+02","2.26e+02","3.63e+02","3.04e+02","1.51e+01","1.64e+01","38.41%","4.57e-02","6.16e-02"
"PLATE 3","BV-421","2.81e+02","2.74e+02","1.58e+02","2.21e+02","3.61e+02","3.20e+02","4.45e+01","2.07e+01","4.39%","1.59e-01","7.54e-02"
