"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"3.05e+02","3.97e+01","2.77e+02","3.33e+02","3.11e+02","3.08e+00","3.09e+02","3.13e+02","0.98%","1.30e-01","9.90e-03","A2-E2","BV-421"
"2.91e+02","4.88e+00","2.88e+02","2.94e+02","3.05e+02","5.95e+00","3.01e+02","3.09e+02","2.41%","1.68e-02","1.95e-02","A3-E3","BV-421"
"2.65e+02","2.05e+01","2.50e+02","2.79e+02","2.64e+02","4.29e+00","2.61e+02","2.67e+02","0.19%","7.74e-02","1.63e-02","A4-E4","BV-421"
"1.96e+02","1.20e+01","1.88e+02","2.05e+02","2.26e+02","2.46e+01","2.09e+02","2.44e+02","7.65%","6.12e-02","1.09e-01","A5-E5","BV-421"
"1.62e+02","4.90e+01","1.27e+02","1.96e+02","1.72e+02","1.90e+01","1.59e+02","1.86e+02","3.09%","3.02e-01","1.10e-01","A6-E6","BV-421"
"1.53e+02","7.16e+00","1.48e+02","1.58e+02","1.13e+02","3.80e+01","8.58e+01","1.40e+02","13.07%","4.68e-02","3.36e-01","A7-E7","BV-421"
"9.33e+01","2.31e+01","7.69e+01","1.10e+02","7.61e+01","5.88e+00","7.19e+01","8.02e+01","9.22%","2.48e-01","7.73e-02","A8-E8","BV-421"
