"ANOVA","TUKEY","PAIRWISE"
"7.62e-01","1.33e+00","8.81e-01"
"3.43e-01","7.33e+00","7.67e-01"
"7.68e-03","2.13e+01","6.10e-01"
"4.13e-03","3.57e+01","9.71e-01"
"1.91e-02","4.97e+01","7.71e-01"
"4.44e-04","4.67e+01","3.25e-01"
"9.99e-04","4.20e+01","8.96e-01"
