"PLATE","F_TEST","AD_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"PLATE 1","1.10e-01","3.46e-01","2.44e-01","3.05e-01","7.78e-01"
"PLATE 2","9.63e-01","1.31e-02","1.61e-02","1.78e-03","8.63e-01"
"PLATE 3","7.44e-01","7.70e-01","4.89e-01","3.55e-01","8.17e-01"
