"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N"
"3.00e+01","3.43e+00","1.20e+01","2.10e+01","1.58e+01","3.43e+00","1.20e+01","2.10e+01"
"3.87e+01","3.20e+00","1.20e+01","2.10e+01","1.63e+01","3.20e+00","1.20e+01","2.10e+01"
"3.73e+01","4.55e+00","1.00e+01","2.20e+01","1.67e+01","4.55e+00","1.00e+01","2.20e+01"
"3.92e+01","4.37e+00","1.10e+01","2.20e+01","1.57e+01","4.37e+00","1.10e+01","2.20e+01"
"3.42e+01","2.64e+00","1.10e+01","1.70e+01","1.32e+01","2.64e+00","1.10e+01","1.70e+01"
"2.47e+01","2.66e+00","9.00e+00","1.70e+01","1.25e+01","2.66e+00","9.00e+00","1.70e+01"
"2.17e+01","1.86e+00","8.00e+00","1.30e+01","1.03e+01","1.86e+00","8.00e+00","1.30e+01"
