"ANOVA","TUKEY","PAIRWISE"
"8.50e-01","8.50e-01","8.50e-01"
"8.76e-01","8.76e-01","8.76e-01"
"8.73e-01","8.73e-01","8.73e-01"
"8.89e-01","8.89e-01","8.89e-01"
"9.45e-01","9.45e-01","9.45e-01"
"7.78e-01","7.78e-01","7.78e-01"
"7.94e-01","7.94e-01","7.94e-01"
