"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"1.45e+01","1.69e+00","1.34e+01","1.57e+01","2.07e+01","4.19e-01","2.04e+01","2.10e+01","21.38%","1.17e-01","2.02e-02","C2-G2","BB-515"
"1.74e+01","1.15e+00","1.66e+01","1.82e+01","2.25e+01","1.94e-01","2.23e+01","2.26e+01","14.66%","6.61e-02","8.62e-03","C3-G3","BB-515"
"1.96e+01","9.96e-02","1.95e+01","1.96e+01","2.13e+01","1.12e+00","2.05e+01","2.21e+01","4.34%","5.08e-03","5.26e-02","C4-G4","BB-515"
"2.15e+01","6.19e+00","1.72e+01","2.59e+01","2.19e+01","2.39e+00","2.02e+01","2.36e+01","0.93%","2.88e-01","1.09e-01","C5-G5","BB-515"
"1.78e+01","4.29e+00","1.47e+01","2.08e+01","1.43e+01","9.79e-01","1.36e+01","1.50e+01","9.83%","2.41e-01","6.85e-02","C6-G6","BB-515"
"1.76e+01","1.50e+00","1.66e+01","1.87e+01","8.61e+00","6.82e-01","8.13e+00","9.09e+00","25.54%","8.52e-02","7.92e-02","C7-G7","BB-515"
"1.36e+01","1.88e+00","1.23e+01","1.49e+01","1.15e+01","4.77e+00","8.14e+00","1.49e+01","7.72%","1.38e-01","4.15e-01","C8-G8","BB-515"
