"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"3.41e+02","2.65e+01","3.22e+02","3.59e+02","2.88e+02","1.02e+01","2.81e+02","2.96e+02","7.77%","7.77e-02","3.54e-02","D2-H2","PE"
"2.09e+02","6.44e+00","2.04e+02","2.13e+02","2.65e+02","5.14e+01","2.29e+02","3.02e+02","13.4%","3.08e-02","1.94e-01","D3-H3","PE"
"2.05e+02","5.61e+01","1.65e+02","2.45e+02","2.09e+02","3.47e+01","1.84e+02","2.34e+02","0.98%","2.74e-01","1.66e-01","D4-H4","PE"
"1.78e+02","3.00e-01","1.78e+02","1.78e+02","1.50e+02","4.61e+01","1.17e+02","1.83e+02","7.87%","1.69e-03","3.07e-01","D5-H5","PE"
"1.10e+02","4.75e+01","7.64e+01","1.44e+02","1.48e+02","2.92e+01","1.28e+02","1.69e+02","17.27%","4.32e-01","1.97e-01","D6-H6","PE"
"8.77e+01","6.42e+00","8.32e+01","9.22e+01","7.16e+01","3.53e+01","4.67e+01","9.66e+01","9.18%","7.32e-02","4.93e-01","D7-H7","PE"
"5.70e+01","1.87e+01","4.38e+01","7.03e+01","5.53e+01","3.07e+01","3.36e+01","7.70e+01","1.49%","3.28e-01","5.55e-01","D8-H8","PE"
