"","diff","lwr","upr","p.adj"
"A3-E3-PLATE 3-NEW-A3-E3-PLATE 2-OLD",-3995.3681640625,-6413.54416595222,-1577.19216217278,0.0025815147314433
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 2-OLD",-3173.39404296875,-5591.57004485847,-755.218041079029,0.011116363523917
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 2-OLD",-1042.81640625,-3460.99240813972,1375.35959563972,0.685937071585603
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 2-OLD",-101.12890625,-2519.30490813972,2317.04709563972,0.999999589369411
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 3-NEW",821.97412109375,-1596.20188079597,3240.15012298347,0.858641404342649
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-NEW",2952.5517578125,534.375755922779,5370.72775970222,0.0170008763008839
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-NEW",3894.2392578125,1476.06325592278,6312.41525970222,0.0030581161948029
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-OLD",2130.57763671875,-287.598365170971,4548.75363860847,0.0911761745551133
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-OLD",3072.26513671875,654.089134829029,5490.44113860847,0.0134811002724295
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 4-NEW",941.6875,-1476.48850188972,3359.86350188972,0.770316043016454
"A4-E4-PLATE 1-OLD-A4-E4-PLATE 1-NEW",435.330078125,-2590.667727689,3461.327883939,0.998405934251754
"A4-E4-PLATE 2-NEW-A4-E4-PLATE 1-NEW",-2392.740234375,-5418.738040189,633.257571439002,0.143965137124023
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 1-NEW",-697.5673828125,-3723.5651886265,2328.4304230015,0.975972151941179
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 1-NEW",-5800.50390625,-8826.501712064,-2774.506100436,0.000939861719204571
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 1-NEW",-4764.41796875,-7790.415774564,-1738.420162936,0.00354488676985232
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 1-NEW",-1910.228515625,-4936.226321439,1115.769290189,0.312382821508705
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 1-NEW",-1643.96484375,-4669.962649564,1382.032962064,0.458619391541837
