"ANOVA","TUKEY","PAIRWISE"
"3.28e-02","4.87e+01","3.34e-01"
"6.91e-03","6.87e+01","3.04e-01"
"6.32e-03","8.00e+01","8.00e-01"
"1.08e-02","6.93e+01","6.24e-01"
"1.20e-02","7.47e+01","8.45e-01"
"2.97e-03","5.70e+01","6.39e-01"
"1.09e-02","4.77e+01","6.06e-01"
