"","diff","lwr","upr","p.adj"
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 3-NEW",-665.5,-1755.00674428121,424.006744281209,0.342865078487502
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-NEW",464,-625.506744281209,1553.50674428121,0.697030615585817
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-NEW",361.5,-728.006744281209,1451.00674428121,0.871345608254707
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-OLD",1129.5,39.993255718791,2219.00674428121,0.0416219986020153
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-OLD",1027,-62.506744281209,2116.50674428121,0.0667490443404187
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 4-NEW",-102.5,-1192.00674428121,987.006744281209,0.999896753416379
"A4-E4-PLATE 1-OLD-A4-E4-PLATE 1-NEW",-163,-1350.53052332289,1024.53052332289,0.998810510545237
"A4-E4-PLATE 2-NEW-A4-E4-PLATE 1-NEW",680,-507.530523322893,1867.53052332289,0.405609966859498
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 1-NEW",-10.0000000000002,-1197.53052332289,1177.53052332289,0.999999999994359
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 1-NEW",586,-601.530523322893,1773.53052332289,0.556555916244322
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 1-NEW",-85.0000000000002,-1272.53052332289,1102.53052332289,0.99998354421262
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 1-NEW",1187.5,-0.0305233228928046,2375.03052332289,0.0500064436872573
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 1-NEW",692.5,-495.030523322893,1880.03052332289,0.387588268718417
"A4-E4-PLATE 2-NEW-A4-E4-PLATE 1-OLD",843,-344.530523322893,2030.53052332289,0.215002257002804
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 1-OLD",153,-1034.53052332289,1340.53052332289,0.999201965852992
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 1-OLD",749,-438.530523322893,1936.53052332289,0.313176685589966
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 1-OLD",78,-1109.53052332289,1265.53052332289,0.999990829430384
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 1-OLD",1350.5,162.969476677107,2538.03052332289,0.0253897486512641
"A4-E4-PLATE 4-OLD-A4-E4-PLATE 1-OLD",855.5,-332.030523322893,2043.03052332289,0.204213647678086
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 2-NEW",-690,-1877.53052332289,497.530523322893,0.391148660533156
"A4-E4-PLATE 3-NEW-A4-E4-PLATE 2-NEW",-94,-1281.53052332289,1093.53052332289,0.999967494567746
"A4-E4-PLATE 3-OLD-A4-E4-PLATE 2-NEW",-765,-1952.53052332289,422.530523322893,0.29423932074542
"A4-E4-PLATE 4-NEW-A4-E4-PLATE 2-NEW",507.5,-680.030523322893,1695.03052332289,0.693979820596093
