"MEAN.O","SD.O","MIN.O","MAX.O","MEAN.N","SD.N","MIN.N","MAX.N","PCT.DIFF","CV.O","CV.N","ROW.GROUP","REAGENT"
"3.83e+01","9.40e-01","3.76e+01","3.89e+01","4.42e+01","9.45e-01","4.36e+01","4.49e+01","7.7%","2.45e-02","2.14e-02","B2-F2","BUV-395"
"5.72e+01","6.03e+00","5.30e+01","6.15e+01","6.21e+01","4.24e+00","5.91e+01","6.51e+01","4.28%","1.05e-01","6.83e-02","B3-F3","BUV-395"
"7.64e+01","1.23e+01","6.78e+01","8.51e+01","8.33e+01","1.99e+00","8.19e+01","8.47e+01","4.52%","1.61e-01","2.39e-02","B4-F4","BUV-395"
"7.60e+01","3.36e+00","7.37e+01","7.84e+01","8.21e+01","1.17e+00","8.13e+01","8.29e+01","4.01%","4.42e-02","1.43e-02","B5-F5","BUV-395"
"8.59e+01","1.66e+01","7.42e+01","9.77e+01","7.81e+01","8.04e+00","7.24e+01","8.38e+01","4.54%","1.93e-01","1.03e-01","B6-F6","BUV-395"
"7.87e+01","1.24e+00","7.78e+01","7.96e+01","7.21e+01","8.35e+00","6.62e+01","7.80e+01","4.19%","1.58e-02","1.16e-01","B7-F7","BUV-395"
"6.78e+01","7.95e-01","6.73e+01","6.84e+01","5.55e+01","2.24e+00","5.39e+01","5.70e+01","9.07%","1.17e-02","4.04e-02","B8-F8","BUV-395"
