"F_TEST","SHAPIRO_TEST","BONETT_TEST","GEARY"
"6.01e-01","7.32e-01","1.59e-01","9.30e-01"
"8.36e-01","1.78e-01","4.61e-02","9.91e-01"
"5.85e-01","4.82e-01","9.71e-01","8.01e-01"
"8.63e-01","3.87e-02","3.82e-02","1.00e+00"
"8.68e-01","2.23e-01","5.64e-02","9.82e-01"
"1.06e-01","2.99e-02","4.91e-01","8.60e-01"
"2.47e-01","1.79e-01","6.19e-01","8.42e-01"
