"","diff","lwr","upr","p.adj"
"A2-E2-PLATE 1-OLD-A2-E2-PLATE 1-NEW",-5.902032484865,-84.0719829473255,72.2679179775955,0.999976373120251
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-NEW",-30.6162805963285,-108.786231058789,47.5536698661319,0.765958395070542
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-NEW",-7.78102315165103,-85.9509736141115,70.3889273108094,0.999850028459726
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-NEW",-67.3632972859985,-145.533247748459,10.806653176462,0.100557539435965
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-NEW",-86.691222837055,-164.861173299515,-8.5212723745945,0.0291311808767361
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-NEW",27.607762757236,-50.5621877052245,105.777713219696,0.836687714604058
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-NEW",2.36127462297247,-75.808675839488,80.5312250854329,0.999999957124287
"A2-E2-PLATE 2-NEW-A2-E2-PLATE 1-OLD",-24.7142481114635,-102.884198573924,53.4557023509969,0.894152862092393
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 1-OLD",-1.87899066678602,-80.0489411292465,76.2909597956744,0.999999991275165
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 1-OLD",-61.4612648011335,-139.631215263594,16.708685661327,0.147237474336189
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 1-OLD",-80.78919035219,-158.95914081465,-2.6192398897295,0.0422906286547388
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 1-OLD",33.509795242101,-44.6601552203595,111.679745704561,0.691246414563286
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 1-OLD",8.26330710783748,-69.906643354623,86.4332575702979,0.999777337153624
"A2-E2-PLATE 2-OLD-A2-E2-PLATE 2-NEW",22.8352574446775,-55.334693017783,101.005207907138,0.924569634056656
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 2-NEW",-36.74701668967,-114.91696715213,41.4229337727905,0.604831916264433
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 2-NEW",-56.0749422407264,-134.244892703187,22.095008221734,0.207294686817545
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 2-NEW",58.2240433535645,-19.9459071088959,136.393993816025,0.181033073710431
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 2-NEW",32.977555219301,-45.1923952431595,111.147505681761,0.705294011696319
"A2-E2-PLATE 3-NEW-A2-E2-PLATE 2-OLD",-59.5822741343475,-137.752224596808,18.587676328113,0.166052862276319
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 2-OLD",-78.9101996854039,-157.080150147864,-0.740249222943476,0.0476835436034571
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 2-OLD",35.388785908887,-42.7811645535734,113.558736371347,0.641137822831625
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 2-OLD",10.1422977746235,-68.027652687837,88.312248237084,0.999165634234026
"A2-E2-PLATE 3-OLD-A2-E2-PLATE 3-NEW",-19.3279255510565,-97.4978760135169,58.842024911404,0.965659000082964
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 3-NEW",94.9710600432345,16.801109580774,173.141010505695,0.0174946064097401
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 3-NEW",69.724571908971,-8.44537855348949,147.894522371431,0.0862758842924518
"A2-E2-PLATE 4-NEW-A2-E2-PLATE 3-OLD",114.298985594291,36.1290351318305,192.468936056751,0.00570347652036773
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 3-OLD",89.0524974600274,10.882546997567,167.222447922488,0.0251468148942356
"A2-E2-PLATE 4-OLD-A2-E2-PLATE 4-NEW",-25.2464881342635,-103.416438596724,52.9234623281969,0.884505363263764
"A3-E3-PLATE 1-OLD-A3-E3-PLATE 1-NEW",-14.0233828386776,-120.953594541352,92.9068288639965,0.999107060652424
"A3-E3-PLATE 2-NEW-A3-E3-PLATE 1-NEW",-39.1841144645616,-146.114326167236,67.7460972381125,0.813373798185711
"A3-E3-PLATE 2-OLD-A3-E3-PLATE 1-NEW",12.5070205202234,-94.4231911824507,119.437232222898,0.999570175748309
"A3-E3-PLATE 3-NEW-A3-E3-PLATE 1-NEW",-55.3566517375576,-162.286863440232,51.5735599651165,0.507863496321192
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 1-NEW",-57.5108995056091,-164.441111208283,49.419312197065,0.468878848021575
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 1-NEW",14.9190484023934,-92.0111633002807,121.849260105067,0.99868254707863
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 1-NEW",0.0983277956113966,-106.831883907063,107.028539498285,1
"A3-E3-PLATE 2-NEW-A3-E3-PLATE 1-OLD",-25.160731625884,-132.090943328558,81.7694800767901,0.973284721761054
"A3-E3-PLATE 2-OLD-A3-E3-PLATE 1-OLD",26.530403358901,-80.3998083437731,133.460615061575,0.965063240591728
"A3-E3-PLATE 3-NEW-A3-E3-PLATE 1-OLD",-41.33326889888,-148.263480601554,65.5969428037941,0.775868792917685
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 1-OLD",-43.4875166669315,-150.417728369606,63.4426950357426,0.736183169062144
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 1-OLD",28.942431241071,-77.9877804616031,135.872642943745,0.946757076871827
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 1-OLD",14.121710634289,-92.8085010683851,121.051922336963,0.999066760609298
"A3-E3-PLATE 2-OLD-A3-E3-PLATE 2-NEW",51.691134984785,-55.2390767178891,158.621346687459,0.577200393571675
"A3-E3-PLATE 3-NEW-A3-E3-PLATE 2-NEW",-16.1725372729961,-123.10274897567,90.757674429678,0.997830593563896
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 2-NEW",-18.3267850410475,-125.256996743722,88.6034266616266,0.995396969651729
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 2-NEW",54.103162866955,-52.8270488357191,161.033374569629,0.531207200153917
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 2-NEW",39.282442260173,-67.6477694425011,146.212653962847,0.811712424322892
"A3-E3-PLATE 3-NEW-A3-E3-PLATE 2-OLD",-67.863672257781,-174.793883960455,39.066539444893,0.307551000881698
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 2-OLD",-70.0179200258325,-176.948131728507,36.9122916768416,0.279990975124399
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 2-OLD",2.41202788216998,-104.518183820504,109.342239584844,0.999999994400155
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 2-OLD",-12.408692724612,-119.338904427286,94.5215189780621,0.999591529090733
"A3-E3-PLATE 3-OLD-A3-E3-PLATE 3-NEW",-2.15424776805145,-109.084459470726,104.775963934623,0.999999997455969
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-NEW",70.275700139951,-36.6545115627231,177.205911842625,0.276832687389777
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-NEW",55.454979533169,-51.4752321695051,162.385191235843,0.506051478668728
"A3-E3-PLATE 4-NEW-A3-E3-PLATE 3-OLD",72.4299479080025,-34.5002637946716,179.360159610677,0.25158432590615
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 3-OLD",57.6092273012205,-49.3209844014536,164.539439003895,0.467137358391408
"A3-E3-PLATE 4-OLD-A3-E3-PLATE 4-NEW",-14.820720606782,-121.750932309456,92.1094910958921,0.998735845185724
"A4-E4-PLATE 1-OLD-A4-E4-PLATE 1-NEW",0.822048651109412,-54.5352967492167,56.1793940514356,0.999999999698083
"A4-E4-PLATE 2-NEW-A4-E4-PLATE 1-NEW",-35.9140035148671,-91.2713489151933,19.443341885459,0.288025475510414
"A4-E4-PLATE 2-OLD-A4-E4-PLATE 1-NEW",17.6299866673989,-37.7273587329273,72.987332067725,0.890921491811681
