"ANOVA","TUKEY","PAIRWISE"
"4.03e-02","1.43e+01","5.71e-01"
"4.62e-03","2.43e+01","8.27e-01"
"4.63e-03","1.67e+01","9.07e-01"
"6.30e-03","2.13e+01","9.21e-01"
"1.62e-02","1.93e+01","9.62e-01"
"1.67e-02","9.33e+00","5.81e-01"
"4.81e-02","1.47e+01","8.00e-01"
