"X","Y","Z"
1,"A",1958
2,"A",1706
3,"A",1778
4,"A",1700
5,"A",1542
6,"A",1714
7,"A",1659
8,"A",1565
9,"A",1
10,"A",3
11,"A",1
12,"A",0
1,"B",1875
2,"B",1613
3,"B",1626
4,"B",1509
5,"B",1389
6,"B",1324
7,"B",1438
8,"B",1268
9,"B",1
10,"B",1
11,"B",0
12,"B",4
1,"C",1908
2,"C",1658
3,"C",1591
4,"C",1497
5,"C",1458
6,"C",1535
7,"C",1511
8,"C",1664
9,"C",2
10,"C",0
11,"C",8
12,"C",0
1,"D",1729
2,"D",1441
3,"D",1404
4,"D",1419
5,"D",1341
6,"D",1324
7,"D",1629
8,"D",1511
9,"D",1
10,"D",1
11,"D",1
12,"D",0
1,"E",1830
2,"E",1448
3,"E",1447
4,"E",1367
5,"E",1380
6,"E",1252
7,"E",1340
8,"E",1550
9,"E",1
10,"E",0
11,"E",0
12,"E",0
1,"F",1885
2,"F",1742
3,"F",1513
4,"F",1415
5,"F",1359
6,"F",1371
7,"F",1437
8,"F",1544
9,"F",1
10,"F",1
11,"F",0
12,"F",1
1,"G",1807
2,"G",1556
3,"G",1573
4,"G",1541
5,"G",1539
6,"G",1506
7,"G",1481
8,"G",1480
9,"G",2
10,"G",0
11,"G",1
12,"G",1
1,"H",1862
2,"H",1874
3,"H",1522
4,"H",1399
5,"H",1468
6,"H",1488
7,"H",1414
8,"H",1492
9,"H",1
10,"H",0
11,"H",0
12,"H",0
