"X","Y","Z"
1,"A",2796
2,"A",2671
3,"A",2872
4,"A",2701
5,"A",2928
6,"A",2852
7,"A",2919
8,"A",2902
9,"A",0
10,"A",0
11,"A",1
12,"A",0
1,"B",2836
2,"B",2506
3,"B",2397
4,"B",2187
5,"B",2087
6,"B",1950
7,"B",1752
8,"B",2163
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",2592
2,"C",2499
3,"C",2481
4,"C",2446
5,"C",2320
6,"C",2233
7,"C",2222
8,"C",2604
9,"C",1
10,"C",0
11,"C",1
12,"C",1
1,"D",2745
2,"D",2378
3,"D",2554
4,"D",2287
5,"D",2508
6,"D",2272
7,"D",2280
8,"D",2391
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2438
2,"E",2266
3,"E",2065
4,"E",2014
5,"E",2133
6,"E",2249
7,"E",2288
8,"E",2368
9,"E",2
10,"E",0
11,"E",0
12,"E",0
1,"F",2453
2,"F",2210
3,"F",1843
4,"F",1811
5,"F",1718
6,"F",1590
7,"F",1406
8,"F",1719
9,"F",0
10,"F",0
11,"F",1
12,"F",0
1,"G",2646
2,"G",2421
3,"G",2206
4,"G",2472
5,"G",2377
6,"G",2582
7,"G",2653
8,"G",2634
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",2292
2,"H",2419
3,"H",2428
4,"H",2400
5,"H",2413
6,"H",2225
7,"H",2172
8,"H",2253
9,"H",0
10,"H",0
11,"H",0
12,"H",0
