"X","Y","Z"
1,"A",2881
2,"A",2430
3,"A",2499
4,"A",2800
5,"A",2897
6,"A",2950
7,"A",3230
8,"A",3185
9,"A",0
10,"A",1
11,"A",NA
12,"A",0
1,"B",3095
2,"B",2410
3,"B",2545
4,"B",2514
5,"B",2534
6,"B",2733
7,"B",2538
8,"B",2792
9,"B",1
10,"B",0
11,"B",0
12,"B",1
1,"C",3231
2,"C",3101
3,"C",2904
4,"C",3019
5,"C",2806
6,"C",3105
7,"C",2986
8,"C",3134
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",3118
2,"D",2958
3,"D",3175
4,"D",2975
5,"D",3103
6,"D",2959
7,"D",2978
8,"D",2990
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2730
2,"E",2525
3,"E",2643
4,"E",2905
5,"E",2686
6,"E",2790
7,"E",2725
8,"E",3131
9,"E",0
10,"E",2
11,"E",1
12,"E",0
1,"F",2615
2,"F",2131
3,"F",2378
4,"F",2042
5,"F",1985
6,"F",1841
7,"F",1957
8,"F",2101
9,"F",0
10,"F",0
11,"F",0
12,"F",NA
1,"G",2358
2,"G",2742
3,"G",2652
4,"G",2761
5,"G",2690
6,"G",2037
7,"G",2772
8,"G",2757
9,"G",0
10,"G",0
11,"G",NA
12,"G",0
1,"H",2205
2,"H",2463
3,"H",2362
4,"H",2468
5,"H",2597
6,"H",2389
7,"H",2404
8,"H",2517
9,"H",0
10,"H",0
11,"H",0
12,"H",NA
