"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-","SI","SN"
1,"Specimen_001_A1_A01_001.fcs",NA,49.4099998474121,NA,29.2800016403198,NA,NA
2,"Specimen_001_A2_A02_002.fcs",31537.611328125,65.2700042724609,8850.5653859375,46.9700002670288,335.025986213853,483.186904607443
3,"Specimen_001_A3_A03_003.fcs",32890.58984375,67.0999984741211,8641.20358496094,52.7650012969971,311.034672969333,490.172736090823
4,"Specimen_001_A4_A04_004.fcs",34056.30078125,65.8800048828125,9091.78382460937,60.9999976158142,278.610017253142,516.944417988879
5,"Specimen_001_A5_A05_005.fcs",34332.01953125,86.620002746582,9301.55883183594,106.140006065369,161.321827640619,396.352094696796
6,"Specimen_001_A6_A06_006.fcs",34199.95703125,76.8600006103516,9236.54366679688,93.9400033950806,181.621757490944,444.964308608709
7,"Specimen_001_A7_A07_007.fcs",35719.16015625,120.780006408691,9499.33207597656,226.733711611938,78.5026185492191,295.737359338968
8,"Specimen_001_A8_A08_008.fcs",35283.01171875,188.79500579834,9596.48934511718,362.524748886108,48.4025115813223,186.885302233245
9,"Specimen_001_B1_B01_012.fcs",809.759948730469,123.899997711182,0,110.939176425934,3.09115306745218,6.53559292727404
10,"Specimen_001_B2_B02_013.fcs",10384.080078125,166.31999206543,5199.93243447265,127.160287911224,40.1766945242881,62.4343468826041
11,"Specimen_001_B3_B03_014.fcs",14825.5795898438,157.080001831055,7088.67676435547,150.528417644882,48.7233567505431,94.3823492298479
12,"Specimen_001_B4_B04_015.fcs",21793.798828125,160.440002441406,9632.99439257812,175.514125495076,61.628540622192,135.837686963912
13,"Specimen_001_B5_B05_016.fcs",28982.51953125,173.039993286133,12391.4737804687,198.136676133489,72.7010266351552,167.490295051766
14,"Specimen_001_B6_B06_017.fcs",37269.5390625,225.959991455078,15155.6420458984,386.405438613892,47.9335632592636,164.938663798407
15,"Specimen_001_B7_B07_018.fcs",41943.71875,204.959991455078,17237.7580257812,436.453409838867,47.8158238859382,204.643445055924
16,"Specimen_001_B8_B08_019.fcs",44526.298828125,343.97998046875,19231.1662084961,739.523365020752,29.8721588373455,129.444448387513
17,"Specimen_001_C1_C01_024.fcs",NA,156.099990844727,NA,68.2499961853027,NA,NA
18,"Specimen_001_C2_C02_025.fcs",5814.89990234375,157.5,3500.74887792969,142.799997329712,19.8088235578931,36.9199993799603
19,"Specimen_001_C3_C03_026.fcs",8620.5,157.150001525879,5502.57750463867,159.292659208202,26.5654112391085,54.855233320379
20,"Specimen_001_C4_C04_027.fcs",13895.3500976562,165.199996948242,7280.68500527343,208.599990844727,32.9102365851209,84.1122902805484
21,"Specimen_001_C5_C05_028.fcs",18636.099609375,156.800003051758,9252.08442993164,298.502986812592,30.9532909597401,118.852673766999
22,"Specimen_001_C6_C06_029.fcs",22517.599609375,219.099990844727,10562.9449968262,481.599983215332,23.1504364573038,102.773165450897
23,"Specimen_001_C7_C07_030.fcs",25783.798828125,281.75,12419.6270838867,753.104137176514,16.931289823832,91.5130393189885
24,"Specimen_001_C8_C08_031.fcs",28073.849609375,259,13671.5457717773,758.400421635436,18.3378389673059,108.393241735039
25,"Specimen_001_D1_D01_036.fcs",NA,3.89999985694885,NA,22.6199989318848,NA,NA
26,"Specimen_001_D2_D02_037.fcs",48112.34765625,18.7199993133545,12939.1555751953,57.1307473281859,420.90844165458,2570.1041357372
27,"Specimen_001_D3_D03_038.fcs",48896.638671875,20.2799987792969,13884.6270830078,69.0299968719482,354.022605301302,2411.07700271618
28,"Specimen_001_D4_D04_039.fcs",48732.05859375,21.0599994659424,13132.9878427734,92.7012819732665,262.730986872067,2313.96295486892
29,"Specimen_001_D5_D05_040.fcs",49726.947265625,33.5399971008301,14081.3967634766,149.371005300903,166.342213364697,1482.61632570011
30,"Specimen_001_D6_D06_041.fcs",49646.21875,2.33999991416931,14021.1654453125,203.969993591309,121.694073417378,21216.3335773558
31,"Specimen_001_D7_D07_042.fcs",50215.619140625,-49.5299987792969,14454.1461080078,169.814495639038,148.000172041406,-1013.84252732134
32,"Specimen_001_D8_D08_043.fcs",50044.017578125,-311.610000610352,14342.5383623047,323.470170307922,77.8365861847479,-160.598239723063
33,"Specimen_001_E1_E01_048.fcs",NA,51.8500022888184,NA,29.2518472511291,NA,NA
34,"Specimen_001_E2_E02_049.fcs",30137.05078125,66.4899978637695,8034.08183789063,43.9199991226196,342.333349090384,453.256907046341
35,"Specimen_001_E3_E03_050.fcs",32767.67578125,67.7099990844727,8888.26843457031,49.7150001525879,328.874239985931,483.941459523137
36,"Specimen_001_E4_E04_051.fcs",32931.4609375,68.3199996948242,8900.11935253906,56.4250040054321,291.21079844887,482.017873018153
37,"Specimen_001_E5_E05_052.fcs",33072.98046875,71.9800033569336,9016.82743359375,65.6361247314453,251.393577853803,459.474561354882
38,"Specimen_001_E6_E06_053.fcs",34978.31640625,89.0600051879883,9275.76195429687,106.445000648499,163.883959737447,392.749992911157
39,"Specimen_001_E7_E07_054.fcs",33632.044921875,116.51000213623,9334.66995771484,182.695011138916,91.7253698138876,288.662297701706
40,"Specimen_001_E8_E08_055.fcs",35667.310546875,237.290008544922,9515.50429033203,324.797917074585,54.5416375471923,150.311050876475
41,"Specimen_001_F1_F01_060.fcs",NA,115.919998168945,NA,113.886440056866,NA,NA
42,"Specimen_001_F2_F02_061.fcs",7648.19970703125,153.299995422363,3926.39979257812,130.196548825455,28.7830199003845,49.8904105375827
