"X","Y","Z"
1,"A",2336
2,"A",2143
3,"A",2079
4,"A",1988
5,"A",1937
6,"A",2015
7,"A",1953
8,"A",2150
9,"A",4
10,"A",15
11,"A",0
12,"A",0
1,"B",2586
2,"B",2138
3,"B",2079
4,"B",2106
5,"B",2038
6,"B",1917
7,"B",1869
8,"B",2029
9,"B",2
10,"B",1
11,"B",0
12,"B",0
1,"C",2784
2,"C",2471
3,"C",2174
4,"C",2406
5,"C",2301
6,"C",2072
7,"C",2122
8,"C",2344
9,"C",1
10,"C",1
11,"C",4
12,"C",0
1,"D",2371
2,"D",2075
3,"D",1961
4,"D",1805
5,"D",1794
6,"D",1653
7,"D",1691
8,"D",1908
9,"D",0
10,"D",0
11,"D",1
12,"D",1
1,"E",2435
2,"E",1830
3,"E",1617
4,"E",1619
5,"E",1563
6,"E",1491
7,"E",1471
8,"E",2107
9,"E",0
10,"E",0
11,"E",0
12,"E",2
1,"F",2166
2,"F",1754
3,"F",1769
4,"F",1870
5,"F",1869
6,"F",1612
7,"F",1563
8,"F",1799
9,"F",3
10,"F",2
11,"F",0
12,"F",1
1,"G",2267
2,"G",1801
3,"G",1767
4,"G",1778
5,"G",1670
6,"G",1629
7,"G",1311
8,"G",1814
9,"G",4
10,"G",2
11,"G",1
12,"G",1
1,"H",2321
2,"H",2037
3,"H",2065
4,"H",1766
5,"H",1754
6,"H",1783
7,"H",1803
8,"H",1877
9,"H",4
10,"H",2
11,"H",1
12,"H",0
