"X","Y","Z"
1,"A",2323
2,"A",1613
3,"A",1897
4,"A",1698
5,"A",1711
6,"A",1703
7,"A",1814
8,"A",1748
9,"A",0
10,"A",0
11,"A",0
12,"A",0
1,"B",1909
2,"B",1570
3,"B",1669
4,"B",1534
5,"B",1558
6,"B",1426
7,"B",1451
8,"B",1415
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",1829
2,"C",1812
3,"C",1674
4,"C",1566
5,"C",1613
6,"C",1612
7,"C",1516
8,"C",1779
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",1878
2,"D",1579
3,"D",1505
4,"D",1433
5,"D",1811
6,"D",1484
7,"D",1265
8,"D",1357
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2224
2,"E",2115
3,"E",1684
4,"E",1730
5,"E",1672
6,"E",1582
7,"E",1799
8,"E",1619
9,"E",0
10,"E",1
11,"E",0
12,"E",0
1,"F",1965
2,"F",1856
3,"F",1422
4,"F",1357
5,"F",1459
6,"F",1342
7,"F",1279
8,"F",1392
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",1980
2,"G",2043
3,"G",1877
4,"G",1722
5,"G",1796
6,"G",1585
7,"G",1427
8,"G",1573
9,"G",1
10,"G",0
11,"G",0
12,"G",1
1,"H",2213
2,"H",1837
3,"H",1932
4,"H",1894
5,"H",1688
6,"H",1532
7,"H",1498
8,"H",1604
9,"H",1
10,"H",0
11,"H",0
12,"H",0
