"X","Y","Z"
1,"A",3812
2,"A",3222
3,"A",3310
4,"A",3062
5,"A",3123
6,"A",3143
7,"A",2992
8,"A",3156
9,"A",0
10,"A",1
11,"A",0
12,"A",0
1,"B",3571
2,"B",2915
3,"B",3031
4,"B",2889
5,"B",2845
6,"B",2842
7,"B",2531
8,"B",2894
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",3489
2,"C",3212
3,"C",3085
4,"C",2967
5,"C",2847
6,"C",2636
7,"C",2602
8,"C",2806
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",3307
2,"D",3011
3,"D",2654
4,"D",2844
5,"D",2773
6,"D",2421
7,"D",2557
8,"D",2624
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",3043
2,"E",2576
3,"E",2268
4,"E",2368
5,"E",2161
6,"E",2192
7,"E",1897
8,"E",2239
9,"E",0
10,"E",1
11,"E",0
12,"E",0
1,"F",2880
2,"F",2713
3,"F",2445
4,"F",2141
5,"F",2031
6,"F",2260
7,"F",2183
8,"F",2305
9,"F",0
10,"F",0
11,"F",0
12,"F",0
1,"G",2864
2,"G",2432
3,"G",2609
4,"G",2575
5,"G",2392
6,"G",2269
7,"G",2434
8,"G",2476
9,"G",2
10,"G",0
11,"G",0
12,"G",0
1,"H",2898
2,"H",2621
3,"H",2304
4,"H",2510
5,"H",2717
6,"H",2849
7,"H",2609
8,"H",2306
9,"H",0
10,"H",0
11,"H",0
12,"H",0
