"X","Y","Z"
1,"A",2854
2,"A",2500
3,"A",2422
4,"A",2821
5,"A",2429
6,"A",2451
7,"A",3022
8,"A",2715
9,"A",0
10,"A",1
11,"A",0
12,"A",0
1,"B",2256
2,"B",2265
3,"B",2419
4,"B",2214
5,"B",2495
6,"B",2224
7,"B",2186
8,"B",2200
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",2379
2,"C",2204
3,"C",2172
4,"C",2121
5,"C",2051
6,"C",2198
7,"C",1908
8,"C",2253
9,"C",0
10,"C",0
11,"C",0
12,"C",1
1,"D",2588
2,"D",2294
3,"D",2117
4,"D",2342
5,"D",2490
6,"D",2502
7,"D",2240
8,"D",2312
9,"D",0
10,"D",0
11,"D",0
12,"D",0
1,"E",2458
2,"E",1494
3,"E",1712
4,"E",1900
5,"E",1890
6,"E",2087
7,"E",1927
8,"E",1824
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",1985
2,"F",1817
3,"F",1834
4,"F",2081
5,"F",2031
6,"F",1848
7,"F",1959
8,"F",1808
9,"F",0
10,"F",1
11,"F",0
12,"F",0
1,"G",2353
2,"G",1756
3,"G",1988
4,"G",2131
5,"G",1965
6,"G",2134
7,"G",1878
8,"G",1849
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",1801
2,"H",1421
3,"H",1393
4,"H",1541
5,"H",1522
6,"H",1707
7,"H",1372
8,"H",1667
9,"H",0
10,"H",0
11,"H",0
12,"H",0
