"X","Y","Z"
1,"A",3470
2,"A",1666
3,"A",1712
4,"A",1606
5,"A",1741
6,"A",1635
7,"A",1784
8,"A",1822
9,"A",0
10,"A",0
11,"A",0
12,"A",0
1,"B",1649
2,"B",1453
3,"B",1288
4,"B",1398
5,"B",1266
6,"B",1078
7,"B",1265
8,"B",1144
9,"B",0
10,"B",0
11,"B",0
12,"B",0
1,"C",2478
2,"C",1704
3,"C",1720
4,"C",1766
5,"C",1712
6,"C",1491
7,"C",1477
8,"C",1432
9,"C",0
10,"C",0
11,"C",0
12,"C",0
1,"D",1714
2,"D",1891
3,"D",1405
4,"D",1518
5,"D",1333
6,"D",1511
7,"D",1392
8,"D",1515
9,"D",0
10,"D",0
11,"D",0
12,"D",1
1,"E",1849
2,"E",1638
3,"E",1421
4,"E",1784
5,"E",1515
6,"E",1332
7,"E",1415
8,"E",1809
9,"E",0
10,"E",0
11,"E",0
12,"E",0
1,"F",1642
2,"F",1771
3,"F",1461
4,"F",1423
5,"F",1491
6,"F",1432
7,"F",1530
8,"F",1466
9,"F",1
10,"F",0
11,"F",0
12,"F",0
1,"G",1733
2,"G",1564
3,"G",1614
4,"G",1492
5,"G",1465
6,"G",1511
7,"G",1500
8,"G",1552
9,"G",0
10,"G",0
11,"G",0
12,"G",0
1,"H",1546
2,"H",1633
3,"H",1563
4,"H",1526
5,"H",1463
6,"H",1755
7,"H",1833
8,"H",1629
9,"H",0
10,"H",0
11,"H",0
12,"H",0
