"INDEX","SAMPLE_NAME","MFI+","MFI-","rSD+","rSD-"
1,"Specimen_001_A1_A01_001.fcs",NA,49.7700004577637,NA,30.7499539089203
2,"Specimen_001_A2_A02_191.fcs",35804.791015625,73.0800018310547,9367.77774169922,60.7949981689453
3,"Specimen_001_A3_A03_192.fcs",35255.4296875,70.5599975585938,9360.42578320312,65.7710879501342
4,"Specimen_001_A4_A04_193.fcs",35665.560546875,64.8899993896484,9011.82509150391,62.7662416724205
5,"Specimen_001_A5_A05_194.fcs",35718.1640625,63,9095.3764609375,52.2928984479904
6,"Specimen_001_A6_A06_195.fcs",35701.154296875,66.7799987792969,8540.05802226562,64.2600030899048
7,"Specimen_001_A7_A07_196.fcs",35694.85546875,69.3000030517578,8692.92770039063,65.2049970626831
8,"Specimen_001_A8_A08_197.fcs",36018.98828125,86.3099975585938,9472.88449882812,114.424379920959
9,"Specimen_001_B1_B01_202.fcs",NA,48.5099983215332,NA,29.9249982833862
10,"Specimen_001_B2_B02_203.fcs",35024.53515625,76.5449981689453,9331.10553828125,64.5749998092651
11,"Specimen_001_B3_B03_204.fcs",35303.30859375,70.5599975585938,9451.82389765625,59.1813190380096
12,"Specimen_001_B4_B04_205.fcs",33563.87890625,74.9700012207031,9538.71382304687,73.4268464867115
13,"Specimen_001_B5_B05_206.fcs",34303.814453125,69.9300003051758,9478.51678613281,57.0149965286255
14,"Specimen_001_B6_B06_207.fcs",34018.423828125,66.7799987792969,9268.47227470703,51.30638048172
15,"Specimen_001_B7_B07_208.fcs",35401.58984375,68.6699981689453,8875.064271875,57.9599990844727
16,"Specimen_001_B8_B08_209.fcs",34210.2578125,68.6699981689453,9533.81552070312,52.6050004959106
17,"Specimen_001_C1_C01_214.fcs",NA,47.25,NA,29.6099977493286
18,"Specimen_001_C2_C02_215.fcs",35441.91015625,68.0400009155273,9252.70046835937,60.7901184921264
19,"Specimen_001_C3_C03_216.fcs",36713.25,70.875,8946.01224628906,60.7743972587585
20,"Specimen_001_C4_C04_217.fcs",36579.05859375,67.4099960327148,9157.10306015625,62.9300723190307
21,"Specimen_001_C5_C05_218.fcs",36548.505859375,80.6399993896484,8583.72625097656,101.869489410782
22,"Specimen_001_C6_C06_219.fcs",35734.859375,74.3399963378906,8881.13200625,63.3137400569916
23,"Specimen_001_C7_C07_220.fcs",35131.00390625,71.1900024414062,9987.94371269531,68.355001449585
24,"Specimen_001_C8_C08_221.fcs",34901.0546875,68.6699981689453,9118.44751103516,63.7148625778198
25,"Specimen_001_D1_D01_226.fcs",NA,45.9899978637695,NA,28.6649980545044
26,"Specimen_001_D2_D02_227.fcs",34828.603515625,74.9700012207031,8674.96754501953,72.760714402771
