Sample:,Mono %(+),Mono MFI(+),Mono MFI(-),Mono rSD(-),Stain Index
Specimen_001_A1_A01_002.fcs,0,n/a,152,37,#VALUE!
Specimen_001_A2_A02_003.fcs,94,4435,1295,612,2.565359477
Specimen_001_A3_A03_002.fcs,93.9,4472,1235,499,3.243486974
Specimen_001_A4_A04_003.fcs,94.2,4556,1322,475,3.404210526
Specimen_001_A5_A05_004.fcs,93.9,4575,1312,383,4.259791123
Specimen_001_A6_A06_005.fcs,92.6,4398,1227,510,3.108823529
Specimen_001_A7_A07_006.fcs,91.8,4435,1310,427,3.659250585
Specimen_001_A8_A08_007.fcs,93.7,4371,1242,614,2.548045603
Specimen_001_B1_B01_012.fcs,0,n/a,149,35,#VALUE!
Specimen_001_B2_B02_013.fcs,93.4,4435,1355,377,4.084880637
Specimen_001_B3_B03_014.fcs,94.1,4371,1325,382,3.986910995
Specimen_001_B4_B04_015.fcs,93,4281,1138,399,3.938596491
Specimen_001_B5_B05_016.fcs,94.1,4509,1342,473,3.347780127
Specimen_001_B6_B06_017.fcs,91.7,4299,1397,553,2.623869801
Specimen_001_B7_B07_018.fcs,90.7,4272,1363,492,2.956300813
Specimen_001_B8_B08_019.fcs,94.5,4380,1415,446,3.323991031
Specimen_001_C1_C01_024.fcs,0,n/a,148,38.9,#VALUE!
Specimen_001_C2_C02_025.fcs,93.8,4500,1312,382,4.172774869
Specimen_001_C3_C03_026.fcs,92.3,4389,1119,451,3.625277162
Specimen_001_C4_C04_027.fcs,92.4,4299,1297,437,3.434782609
Specimen_001_C5_C05_028.fcs,93.4,4290,1358,432,3.393518519
Specimen_001_C6_C06_029.fcs,92.6,4444,1283,456,3.466008772
Specimen_001_C7_C07_030.fcs,92.5,4361,1437,391,3.739130435
Specimen_001_C8_C08_031.fcs,91.9,4407,1350,345,4.430434783
Specimen_001_D1_D01_036.fcs,0,n/a,147,39.6,#VALUE!
Specimen_001_D2_D02_037.fcs,92.8,4389,1283,496,3.131048387
Specimen_001_D3_D03_038.fcs,92,4509,1235,499,3.280561122
Specimen_001_D4_D04_039.fcs,92.7,4462,1345,437,3.566361556
Specimen_001_D5_D05_040.fcs,93,4425,1407,381,3.960629921
Specimen_001_D6_D06_041.fcs,93.5,4472,1315,493,3.201825558
Specimen_001_D7_D07_042.fcs,93.1,4091,1402,517,2.600580271
Specimen_001_D8_D08_043.fcs,93.4,4176,1363,335,4.198507463
Specimen_001_E1_E01_048.fcs,0,n/a,142,36.9,#VALUE!
Specimen_001_E2_E02_049.fcs,93.6,4352,1381,416,3.570913462
Specimen_001_E3_E03_050.fcs,93.2,4425,1268,478,3.302301255
Specimen_001_E4_E04_051.fcs,93,4316,1413,509,2.851669941
Specimen_001_E5_E05_052.fcs,93.6,4219,1237,402,3.708955224
Specimen_001_E6_E06_053.fcs,93.2,4334,1266,393,3.903307888
Specimen_001_E7_E07_054.fcs,93.3,4263,1462,314,4.460191083
Specimen_001_E8_E08_055.fcs,93.5,4254,1300,538,2.74535316
Specimen_001_F1_F01_060.fcs,0,n/a,138,35.6,#VALUE!
Specimen_001_F2_F02_061.fcs,90.8,4500,1418,379,4.065963061
Specimen_001_F3_F03_062.fcs,94,4352,1345,319,4.713166144
Specimen_001_F4_F04_063.fcs,91.2,4389,1275,579,2.689119171
Specimen_001_F5_F05_064.fcs,93.7,4462,1136,609,2.730706076
Specimen_001_F6_F06_065.fcs,91.8,4425,1242,464,3.429956897
Specimen_001_F7_F07_066.fcs,93.5,4159,1451,446,3.035874439
Specimen_001_F8_F08_067.fcs,92.3,4308,1335,479,3.103340292
Specimen_001_G1_G01_072.fcs,0,n/a,139,38.2,#VALUE!
Specimen_001_G2_G02_073.fcs,93.5,4316,1498,301,4.681063123
Specimen_001_G3_G03_074.fcs,94.3,4472,1381,415,3.724096386
Specimen_001_G4_G04_075.fcs,95,4380,1300,543,2.836095764
Specimen_001_G5_G05_076.fcs,93.3,4537,1410,416,3.758413462
Specimen_001_G6_G06_077.fcs,92.3,4343,1363,466,3.197424893
Specimen_001_G7_G07_078.fcs,93.8,4462,1432,392,3.864795918
Specimen_001_G8_G08_079.fcs,92.1,4125,1256,509,2.81827112
Specimen_001_H1_H01_084.fcs,0,n/a,135,36.9,#VALUE!
Specimen_001_H2_H02_085.fcs,93.6,4462,1193,417,3.919664269
Specimen_001_H3_H03_086.fcs,95.8,4472,1475,454,3.300660793
Specimen_001_H4_H04_087.fcs,92.6,4352,1418,286,5.129370629
Specimen_001_H5_H05_088.fcs,91.1,4290,1353,445,3.3
Specimen_001_H6_H06_089.fcs,91.6,4167,1258,498,2.920682731
Specimen_001_H7_H07_090.fcs,90.6,4125,1305,457,3.085339168
Specimen_001_H8_H08_091.fcs,93.1,4176,1268,510,2.850980392
Mean,81.4,,1178,397,
SD,31,,402,154,
