Sample:,Mono %(+),Mono MFI(+),Mono MFI(-),Mono rSD(-),Stain Index
Specimen_001_A1_A01_001.fcs,0.69,4964,165,40,59.9875
Specimen_001_A2_A02_192.fcs,96.9,4009,790,348,4.625
Specimen_001_A3_A03_193.fcs,98,3951,617,352,4.735795455
Specimen_001_A4_A04_194.fcs,98.5,4038,811,231,6.984848485
Specimen_001_A5_A05_195.fcs,97.3,3932,663,259,6.310810811
Specimen_001_A6_A06_196.fcs,97.7,3801,570,354,4.563559322
Specimen_001_A7_A07_197.fcs,97.7,3774,464,343,4.825072886
Specimen_001_A8_A08_198.fcs,97.4,3273,847,257,4.719844358
Specimen_001_B1_B01_203.fcs,0.69,4354,164,41.6,50.36057692
Specimen_001_B2_B02_204.fcs,98.6,4117,699,335,5.101492537
Specimen_001_B3_B03_205.fcs,99,4107,175,0,#DIV/0!
Specimen_001_B4_B04_206.fcs,96.9,4058,657,359,4.736768802
Specimen_001_B5_B05_207.fcs,97.1,4048,556,301,5.800664452
Specimen_001_B6_B06_208.fcs,96.8,4019,733,371,4.428571429
Specimen_001_B7_B07_209.fcs,98,3857,684,294,5.396258503
Specimen_001_B8_B08_210.fcs,96.9,4117,599,385,4.568831169
Specimen_001_C1_C01_215.fcs,0.75,5552,175,43.8,61.38127854
Specimen_001_C2_C02_216.fcs,96.6,4098,620,306,5.683006536
Specimen_001_C3_C03_217.fcs,98.2,3876,790,135,11.42962963
Specimen_001_C4_C04_218.fcs,97.9,3932,886,389,3.915167095
Specimen_001_C5_C05_219.fcs,98.6,3876,333,337,5.256676558
Specimen_001_C6_C06_220.fcs,98.4,4198,777,229,7.469432314
Specimen_001_C7_C07_221.fcs,98.2,3747,369,197,8.573604061
Specimen_001_C8_C08_222.fcs,96.8,3719,786,328,4.471036585
Specimen_001_D1_D01_227.fcs,0,n/a,152,38.6,#VALUE!
Specimen_001_D2_D02_228.fcs,98,4208,644,363,4.909090909
Specimen_001_D3_D03_229.fcs,98,3942,709,231,6.997835498
Specimen_001_D4_D04_230.fcs,98.4,4147,802,372,4.495967742
Specimen_001_D5_D05_231.fcs,97.9,3801,696,44.1,35.20408163
Specimen_001_D6_D06_232.fcs,98.4,3932,287,247,7.37854251
Specimen_001_D7_D07_233.fcs,98.7,3980,679,0,#DIV/0!
Specimen_001_D8_D08_234.fcs,97.1,3904,384,376,4.680851064
Specimen_001_E1_E01_239.fcs,8.98,4178,305,101,19.17326733
Specimen_001_E2_E02_240.fcs,97.9,4048,319,418,4.460526316
Specimen_001_E3_E03_241.fcs,96.8,4260,832,136,12.60294118
Specimen_001_E4_E04_242.fcs,97.7,3811,397,334,5.110778443
Specimen_001_E5_E05_243.fcs,99.6,3961,473,0,#DIV/0!
Specimen_001_E6_E06_244.fcs,97.4,4068,664,195,8.728205128
Specimen_001_E7_E07_245.fcs,97.7,3838,641,247,6.471659919
Specimen_001_E8_E08_246.fcs,97.8,4088,470,302,5.990066225
Specimen_001_F1_F01_251.fcs,0,n/a,157,38.5,#VALUE!
Specimen_001_F2_F02_252.fcs,96.7,3942,576,289,5.823529412
Specimen_001_F3_F03_253.fcs,97.1,3980,672,196,8.43877551
Specimen_001_F4_F04_254.fcs,98.3,3904,709,251,6.364541833
Specimen_001_F5_F05_255.fcs,98.8,4078,733,0,#DIV/0!
Specimen_001_F6_F06_256.fcs,98.5,4229,707,90,19.56666667
Specimen_001_F7_F07_257.fcs,98.5,3894,809,170,9.073529412
Specimen_001_F8_F08_258.fcs,97.5,3932,722,196,8.18877551
Specimen_001_G1_G01_263.fcs,0.42,3281,155,39.3,39.77099237
Specimen_001_G2_G02_264.fcs,99.2,4088,661,0,#DIV/0!
Specimen_001_G3_G03_265.fcs,98,3866,743,291,5.365979381
Specimen_001_G4_G04_266.fcs,95.8,4009,690,324,5.12191358
Specimen_001_G5_G05_267.fcs,97.5,4137,555,308,5.814935065
Specimen_001_G6_G06_268.fcs,97.7,3894,542,373,4.493297587
Specimen_001_G7_G07_269.fcs,97.4,4038,857,354,4.492937853
Specimen_001_G8_G08_270.fcs,98.4,3774,715,83.4,18.33932854
Specimen_001_H1_H01_275.fcs,0,n/a,151,40.3,#VALUE!
Specimen_001_H2_H02_276.fcs,97.7,4098,524,337,5.302670623
Specimen_001_H3_H03_277.fcs,97.8,4229,649,313,5.71884984
Specimen_001_H4_H04_278.fcs,97.3,4068,510,355,5.011267606
Specimen_001_H5_H05_279.fcs,99,4158,243,0,#DIV/0!
Specimen_001_H6_H06_280.fcs,98.1,3980,767,313,5.132587859
Specimen_001_H7_H07_281.fcs,97.2,4088,620,297,5.838383838
Specimen_001_H8_H08_282.fcs,98.7,3885,307,373,4.796246649
Mean,85.8,,565,229,
SD,32.2,,217,133,
